block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
268015554,2024-10-27 00:00:45,BURN,0xac45309393ce785425105676ddcb01105e2fb42a92a0af47270a7a5e5f64e357,4,54,55.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,3479999999,,0,,,3763228.0,-198300.0,-198190.0,12760214405708009
268015554,2024-10-27 00:00:45,COLLECT,0xac45309393ce785425105676ddcb01105e2fb42a92a0af47270a7a5e5f64e357,4,57,58.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0,3479999999,,0,,,3763228.0,-198300.0,-198190.0,
268015626,2024-10-27 00:01:03,BURN,0x3088550b8b102a84c293ba88c9671fa0b6887dd5f6e1d5c9f9f647183b404315,7,17,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-198370.0,-198200.0,0
268015626,2024-10-27 00:01:03,COLLECT,0x3088550b8b102a84c293ba88c9671fa0b6887dd5f6e1d5c9f9f647183b404315,7,20,21.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,3708619767315212,9220732,,0,,,3762994.0,-198370.0,-198200.0,
268015640,2024-10-27 00:01:07,BURN,0x6d97cf3eb8b46f71d26334af238f3f585a735532b4111b19abd4339b1573d2d5,3,6,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-198040.0,-196840.0,0
268015640,2024-10-27 00:01:07,COLLECT,0x6d97cf3eb8b46f71d26334af238f3f585a735532b4111b19abd4339b1573d2d5,3,7,8.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xac9eaf90784b160400e815e75be62f95c80dc231,0,0,,0,,,3764504.0,-198040.0,-196840.0,
268015640,2024-10-27 00:01:07,BURN,0x6d97cf3eb8b46f71d26334af238f3f585a735532b4111b19abd4339b1573d2d5,3,9,10.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,46197739260809608131,0,,0,,,3764504.0,-198040.0,-196840.0,39745254224492876
268015640,2024-10-27 00:01:07,COLLECT,0x6d97cf3eb8b46f71d26334af238f3f585a735532b4111b19abd4339b1573d2d5,3,12,13.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xac9eaf90784b160400e815e75be62f95c80dc231,46197739260809608131,0,,0,,,3764504.0,-198040.0,-196840.0,
268015640,2024-10-27 00:01:07,MINT,0x6d97cf3eb8b46f71d26334af238f3f585a735532b4111b19abd4339b1573d2d5,3,20,22.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,46197739260809608708,0,,0,,,3764570.0,-198050.0,-196850.0,39725387557777958
268015650,2024-10-27 00:01:09,BURN,0x660decd827b94aaa4e18f8f987b30d87041b7688154b3f48c18ccace51f52e79,1,1,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-198040.0,-195640.0,0
268015650,2024-10-27 00:01:09,COLLECT,0x660decd827b94aaa4e18f8f987b30d87041b7688154b3f48c18ccace51f52e79,1,2,3.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x76e104dffcf59707c85088e3099d7d1ee9b80399,0,0,,0,,,3764505.0,-198040.0,-195640.0,
268015650,2024-10-27 00:01:09,BURN,0x660decd827b94aaa4e18f8f987b30d87041b7688154b3f48c18ccace51f52e79,1,4,5.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,21336269467304205345,0,,0,,,3764505.0,-198040.0,-195640.0,9453352389039494
268015650,2024-10-27 00:01:09,COLLECT,0x660decd827b94aaa4e18f8f987b30d87041b7688154b3f48c18ccace51f52e79,1,7,8.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x76e104dffcf59707c85088e3099d7d1ee9b80399,21336269467304205345,0,,0,,,3764505.0,-198040.0,-195640.0,
268015650,2024-10-27 00:01:09,MINT,0x660decd827b94aaa4e18f8f987b30d87041b7688154b3f48c18ccace51f52e79,1,15,17.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,21336269467304206617,0,,0,,,3764571.0,-198050.0,-195650.0,9448627130517032
268015723,2024-10-27 00:01:28,BURN,0xd87fe7b3485ba6dc4b465b98c0e3ac3be03898841d4612d59daf7118787a6469,3,1,2.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,5015607351,,0,,,3762994.0,-198370.0,-198200.0,11923775963433586
268015723,2024-10-27 00:01:28,COLLECT,0xd87fe7b3485ba6dc4b465b98c0e3ac3be03898841d4612d59daf7118787a6469,3,4,5.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0,5015607351,,0,,,3762994.0,-198370.0,-198200.0,
