block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
219859147,2024-06-09 00:00:09,BURN,0xfd12181b1f2eed12c5db2b77aa947a589cbc79adec4e3cfb5ebb1f6dbe8e629c,4,5,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-194700.0,-193900.0,0
219859147,2024-06-09 00:00:09,COLLECT,0xfd12181b1f2eed12c5db2b77aa947a589cbc79adec4e3cfb5ebb1f6dbe8e629c,4,8,9.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x4bda1c4d58f0f0110c371c07864a8c76fe90cff9,23022713455007,123299,,0,,,2971420.0,-194700.0,-193900.0,
219859157,2024-06-09 00:00:11,SWAP,0x72437391fb10a70fb1b094edb7f7f389722ec35704f268fdd926a4d483f17af0,9,30,,0xe592427a0aece92de3edee1f18e0157c05861564,0x6324b7fed81470b47657c5d9e1f324d820195461,-130011287028653,478922,6869129950582659518,0,4807425952823018750821548,-194209.0,,,,
219859181,2024-06-09 00:00:17,SWAP,0x7066c5c80b9b97fa63e17defd14b0cbac039af2f9ccdcf89cee7f902d6c4f89d,3,5,,0x5e325eda8064b456f4781070c0738d849c824258,0x5e325eda8064b456f4781070c0738d849c824258,-271466170915721885,1000000000,6869129950582659518,0,4807437481000386583294007,-194209.0,,,,
219859197,2024-06-09 00:00:21,SWAP,0xcf0b2a4a1d65b9379fa79a216808156c8c591db9ccc53ea23c7fcf562a525a3a,7,54,,0x3015aee8dcc5fb0eac29389d01a5b4dd7af16d26,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,1481000000000000000,-5450047670,6869129950582659518,0,4807374620453907598310147,-194209.0,,,,
219859211,2024-06-09 00:00:25,SWAP,0x92576759157020b024621b458522dcbe41b040afacd9faf6d64a0d1952f2079e,1,3,,0x3015aee8dcc5fb0eac29389d01a5b4dd7af16d26,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,1827000000000000000,-6723123757,6869129950582659518,0,4807297076318694634450510,-194209.0,,,,
219859225,2024-06-09 00:00:28,SWAP,0x7c7421e2f5c002a993ad4a12f79032262d125adb04d6547f04b4205472f08fc0,1,2,,0xe592427a0aece92de3edee1f18e0157c05861564,0x6324b7fed81470b47657c5d9e1f324d820195461,-9049378339914157,33333333,6869129950582659518,0,4807297460591265872903365,-194209.0,,,,
219859228,2024-06-09 00:00:29,SWAP,0x4d4e2fdeea6ac9cbf5d43a2624ac1935f961c5df5ebe0d049ec45998ebe6e065,2,7,,0x07746e57fb71fa547a4df4e72f271a10f846c0c1,0x44c6c4c7da174f47ac81e818d55c02600390e79d,1358000000000000000,-4997124680,6869129950582659518,0,4807239824033335971085198,-194209.0,,,,
219859235,2024-06-09 00:00:31,SWAP,0x648191788be11f2f97d766be4bece9e089c1329df285e1b0aecdcbe90188efa4,3,10,,0x75010b38696e3045072ea8bebabee8e4b8a3706c,0x75010b38696e3045072ea8bebabee8e4b8a3706c,1528201339995241768,-5623282801,6869129950582659518,0,4807174965402496609026048,-194210.0,,,,
219859235,2024-06-09 00:00:31,SWAP,0x968250e2b3f929259b105887097b3ac1940be230cc0cda0af64c75aeb8c8f575,4,13,,0x75010b38696e3045072ea8bebabee8e4b8a3706c,0x75010b38696e3045072ea8bebabee8e4b8a3706c,1611376580000000000,-5929176225,6869129950582659518,0,4807106578613929215659116,-194210.0,,,,
