block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,48,,0xe592427a0aece92de3edee1f18e0157c05861564,0xb48abf38bc2e135918ad895d24cf3c6083eadd21,-38534294816033,99986,3771130000062102379,0,4034752108904449698069618,-197713.0,,,,
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,103,,0xe592427a0aece92de3edee1f18e0157c05861564,0xa3694393c56ace11ec62775c952bcca453c0f727,56536458323911,-146550,3771130000062102379,0,4034752105825560754425881,-197713.0,,,,
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,166,,0xe592427a0aece92de3edee1f18e0157c05861564,0x1fba76f2348abf42aa1a659b4d396a9a08aff110,-254013400548701,659096,3771130000062102379,0,4034752119665661654159477,-197713.0,,,,
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,183,,0xe592427a0aece92de3edee1f18e0157c05861564,0x3ecb93822035e322c7d45842be4c17a4c02e7a94,196489231018523,-509326,3771130000062102379,0,4034752108965158988317585,-197713.0,,,,
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,210,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe0449ab87048be6982f25b66fe1a03a084e14904,-202931244830703,526552,3771130000062102379,0,4034752120022012290277605,-197713.0,,,,
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,235,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe0449ab87048be6982f25b66fe1a03a084e14904,-55974517724321,145239,3771130000062102379,0,4034752123071823736543391,-197713.0,,,,
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,263,,0xe592427a0aece92de3edee1f18e0157c05861564,0xa04cfe899665cd22ca3e314b11425ef23826c5af,-17495748072575,45397,3771130000062102379,0,4034752124025092026383049,-197713.0,,,,
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,375,,0xe592427a0aece92de3edee1f18e0157c05861564,0x2eb87185141a7e303e6fe11ea18769e2b230edc0,-17178793312566,44575,3771130000062102379,0,4034752124961090810905825,-197713.0,,,,
243629727,2024-08-17 00:00:12,SWAP,0xb279a6edf56809fc4d776c5b9eb3d79ac0908d2986a3887bc9fd929bf964b3ff,7,423,,0xe592427a0aece92de3edee1f18e0157c05861564,0x51649d477da73ccd48c144338fa363e318e12cbc,44988090852354,-116615,3771130000062102379,0,4034752122511108255376512,-197713.0,,,,
243629729,2024-08-17 00:00:12,SWAP,0x9d8049a30199a8b82cb315acc14bf2e52c26c0f731ea8577a39633eae4fc002d,4,9,,0x5e325eda8064b456f4781070c0738d849c824258,0x5e325eda8064b456f4781070c0738d849c824258,-33000000000000,85627,3771130000062102379,0,4034752124309136749617434,-197713.0,,,,
243629745,2024-08-17 00:00:16,SWAP,0x877fae711ca90a49e977c5bcf1b7e1cee09d84bdcffc65ff67cecda9ba0b1292,2,19,,0xe592427a0aece92de3edee1f18e0157c05861564,0xec784d4bd2e7362e6421d30a875eecda1175c306,-309424568862970,802873,3771130000062102379,0,4034752141168354755874767,-197713.0,,,,
243629745,2024-08-17 00:00:16,SWAP,0x877fae711ca90a49e977c5bcf1b7e1cee09d84bdcffc65ff67cecda9ba0b1292,2,36,,0xe592427a0aece92de3edee1f18e0157c05861564,0x6e3aefc0b97a13eb425ba15da5d4c6d05b197081,260331475575507,-674813,3771130000062102379,0,4034752126991101064922772,-197713.0,,,,
243629745,2024-08-17 00:00:16,SWAP,0x877fae711ca90a49e977c5bcf1b7e1cee09d84bdcffc65ff67cecda9ba0b1292,2,88,,0xe592427a0aece92de3edee1f18e0157c05861564,0xc6c47c466f260a70c204d33d9d028d7693ae1a51,-1538341396438163,3991577,3771130000062102379,0,4034752210808729156931256,-197713.0,,,,
243629745,2024-08-17 00:00:16,SWAP,0x877fae711ca90a49e977c5bcf1b7e1cee09d84bdcffc65ff67cecda9ba0b1292,2,103,,0xe592427a0aece92de3edee1f18e0157c05861564,0x0d94ee097bc9a1caa56284ee18286343f1149dfb,1396808321134065,-3620713,3771130000062102379,0,4034752134740684513427516,-197713.0,,,,
243629757,2024-08-17 00:00:19,SWAP,0x006362e673d43d1ee7045cc88a670cc7ff76e69a09be4f586834632dc2dd9507,2,47,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x09ba302a3f5ad2bf8853266e271b005a5b3716fe,-49251666144847829,127794739,3771130000062102379,0,4034754818254578852351070,-197713.0,,,,
243629757,2024-08-17 00:00:19,SWAP,0x006362e673d43d1ee7045cc88a670cc7ff76e69a09be4f586834632dc2dd9507,2,115,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-1922889370875298,4989381,3771130000062102379,0,4034754923024717893329013,-197713.0,,,,
243629757,2024-08-17 00:00:19,SWAP,0x006362e673d43d1ee7045cc88a670cc7ff76e69a09be4f586834632dc2dd9507,2,124,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x14353445c8329df76e6f15e9ead18fa2d45a8bb6,-2703649834184746,7015245,3771130000062102379,0,4034755070335213771802794,-197713.0,,,,
243629777,2024-08-17 00:00:24,SWAP,0x07d535358390f8a26db278f0d6c8a4ff5d1495fc27d7f7577ee2c5367bcb05a3,6,45,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-1641410985767285,4259021,3771130000062102379,0,4034755159768792552686824,-197713.0,,,,
243629777,2024-08-17 00:00:24,SWAP,0x07d535358390f8a26db278f0d6c8a4ff5d1495fc27d7f7577ee2c5367bcb05a3,6,68,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-888124761591763,2304446,3771130000062102379,0,4034755208158975897987119,-197713.0,,,,
243629894,2024-08-17 00:00:54,SWAP,0x494c9eca81fa45f70292929f13ff7a323a3ac4866c7c6e422492e04881f57071,2,5,,0x5e325eda8064b456f4781070c0738d849c824258,0x5e325eda8064b456f4781070c0738d849c824258,-44000000000000,114170,3771130000062102379,0,4034755210556350890863235,-197713.0,,,,
243629898,2024-08-17 00:00:55,SWAP,0x2c911fa35f2c4e94e198d0c16d2a62c3d42c2632ebc0b6e1b2af7ceb54ad119d,25,74,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,-15549252141042989,40346143,3771130000062102379,0,4034756057769898401707931,-197713.0,,,,
243629901,2024-08-17 00:00:55,SWAP,0x3e0e5cec8457796a1827d7354289bbf3bcc0f2e0a3d435335feaae8a46b5b2e8,4,15,,0xf005000087004000ae00005d54a50b580025e300,0x2d722c96f79d149dd21e9ef36f93fc12906ce9f8,171758175306716695,-445219939,3771130000062102379,0,4034746704086059958237739,-197713.0,,,,
243629912,2024-08-17 00:00:58,SWAP,0xa014ea7ee0384e888056f8c6ae101567475e048016225ed755507f88b7fe3cdc,6,25,,0xac3b205a2abaf2272d5fae1b92dd124bf573d53a,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,1713200000000000000,-4440728331,3771130000062102379,0,4034653408244781530372416,-197714.0,,,,
243629912,2024-08-17 00:00:58,SWAP,0xf467e4cbc1e23747189e63c82f135024916d24950d90641e372bf0524ce7f3eb,18,59,,0xe592427a0aece92de3edee1f18e0157c05861564,0x777925627a00c17be814f713e0a16f6156b153f4,93835318935767305,-243221454,3771130000062102379,0,4034648298373485332786706,-197714.0,,,,
243629915,2024-08-17 00:00:59,SWAP,0x63513313ac706b46b268850ad9ec4cc06691f1300e81674de81f17f71cba3dcb,3,9,,0xf3ae7446b8a02550ad10a829ad272d6fb7dbddab,0x51c72848c68a965f66fa7a88855f9f7784502a7f,2773211983814546944,-7187896418,3771130000062102379,0,4034497286919203363083372,-197714.0,,,,
243629919,2024-08-17 00:01:00,SWAP,0x92189ce9ca78cb5abc9ab43f40e17efcdd5c7175b846a3269bf4e4a874112114,6,23,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4700192f8a4a00f009d87a515ff2d13e5cab8364,1308829429041127271,-3392172011,3771130000062102379,0,4034426020334555345195946,-197715.0,,,,
243629919,2024-08-17 00:01:00,SWAP,0x33f94cb533ee74df6fa4054bf01dc7c9da7f04f612397014509e4270da08b15d,17,61,,0x5e325eda8064b456f4781070c0738d849c824258,0x5e325eda8064b456f4781070c0738d849c824258,-32725474472838744,84900000,3771130000062102379,0,4034427803117901941997608,-197715.0,,,,
243629920,2024-08-17 00:01:00,SWAP,0xe193dae201219c9853328142a196ebd04c8cddbca92624f5ba5c594e522efd4e,4,10,,0xac3b205a2abaf2272d5fae1b92dd124bf573d53a,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,1420200000000000000,-3680685508,3771130000062102379,0,4034350475115528068012323,-197715.0,,,,
243629921,2024-08-17 00:01:00,SWAP,0x6967615c2620481d8e5a88fa19710e8b25f12e65395f192b38bfa87e7e1c8b5f,7,13,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4700192f8a4a00f009d87a515ff2d13e5cab8364,2580075211439547946,-6686334858,3771130000062102379,0,4034210001033537330545529,-197716.0,,,,
243629927,2024-08-17 00:01:02,SWAP,0x4a3b175c9f56ad9ecbdb91dd806fdb4795bee05c13ea29899b6c81ad47bc6656,12,49,,0xf3ae7446b8a02550ad10a829ad272d6fb7dbddab,0x51c72848c68a965f66fa7a88855f9f7784502a7f,434144561718200256,-1125051634,3771130000062102379,0,4034186364676860492079855,-197716.0,,,,
243629928,2024-08-17 00:01:02,SWAP,0x338329f0c0117a9a07fcdae5959656ce05045debecce431348856f6bbf1e6f12,1,3,,0xf3ae7446b8a02550ad10a829ad272d6fb7dbddab,0x51c72848c68a965f66fa7a88855f9f7784502a7f,2351691474329719296,-6093995187,3771130000062102379,0,4034058335136353320964800,-197717.0,,,,
243629929,2024-08-17 00:01:02,SWAP,0x0996235863d571925d8bfddef82152c1740a5028e416565d6a2e133d621e17b4,3,12,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4700192f8a4a00f009d87a515ff2d13e5cab8364,3267925644954612977,-8467612851,3771130000062102379,0,4033880437952466623836503,-197718.0,,,,
243629966,2024-08-17 00:01:12,SWAP,0x970a2cd77708a9085a4f4d9d9c1a1afb9f492ee1740c9ac712a6b7e512d7116d,5,8,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4700192f8a4a00f009d87a515ff2d13e5cab8364,2045813238524162053,-5300583371,3771130000062102379,0,4033769077304402595600125,-197718.0,,,,
243629967,2024-08-17 00:01:12,SWAP,0x32c612579d36d914f84b1b0ee557b1e206eaa9c39d3a6f92530f25b7175f1316,2,4,,0x5e325eda8064b456f4781070c0738d849c824258,0x5e325eda8064b456f4781070c0738d849c824258,-11567542081602720,30000000,3771130000062102379,0,4033769707263182311784458,-197718.0,,,,
243629984,2024-08-17 00:01:16,BURN,0xf3110589d65447f61c45007f3d41456ab95a0e0dafc6b6b66dd68649e0576adf,1,0,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,3771130000062102379,0,4033769707263182311784458,-197718.0,,-198960.0,-194430.0,0
243629984,2024-08-17 00:01:16,COLLECT,0xf3110589d65447f61c45007f3d41456ab95a0e0dafc6b6b66dd68649e0576adf,1,3,4.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,12193833941404540,31540053,3771130000062102379,0,4033769707263182311784458,-197718.0,3372750.0,-198960.0,-194430.0,
243629985,2024-08-17 00:01:17,SWAP,0x2f918863575b7afb6d25834e8034cc41a970b9712d74aba11638d8532e534091,5,22,,0xf3ae7446b8a02550ad10a829ad272d6fb7dbddab,0x51c72848c68a965f66fa7a88855f9f7784502a7f,1930027170567273472,-5000321674,3771130000062102379,0,4033664654852298064700249,-197719.0,,,,
243629985,2024-08-17 00:01:17,SWAP,0xb96f2663d8e972deb864a8afce0d2d97c4a1a8ac296f952838cedd25b8faac85,7,26,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4700192f8a4a00f009d87a515ff2d13e5cab8364,1250479478083558225,-3239607911,3771130000062102379,0,4033596593506725957915486,-197719.0,,,,
243629985,2024-08-17 00:01:17,SWAP,0xded9c9fdc208309a844cecb09baf4ded945b21637c04721409a5315351116083,12,44,,0xac3b205a2abaf2272d5fae1b92dd124bf573d53a,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,1713700000000000000,-4439492313,3771130000062102379,0,4033503323633108440446457,-197719.0,,,,
243629987,2024-08-17 00:01:17,SWAP,0xd11b47c9d3978f226e314d4ea377ffc889db9fd2f5b979a69bbf706a5208562a,2,3,,0xf3ae7446b8a02550ad10a829ad272d6fb7dbddab,0x51c72848c68a965f66fa7a88855f9f7784502a7f,2654186434128453120,-6875500865,3771130000062102379,0,4033358875337788047567718,-197720.0,,,,
243630004,2024-08-17 00:01:21,SWAP,0xb98fd47dbdb0cdeb447ce6a9b109b5b8b4087fdafa1175004d5f856f10f90f65,2,8,,0xac3b205a2abaf2272d5fae1b92dd124bf573d53a,0x975580eb2b1473ac0b9fdf9f5eec9c26c04a3f76,551200000000000000,-1427786731,3771130000062102379,0,4033328878779943278239974,-197720.0,,,,
